id,label,sex,birth,type,art
MZ,Michele Zimmermann,1,na,0,0
IEK,Initiative Erfurter Kreuz e.V.,0,na,1,0
TF,Thex Frauensache,0,na,1,0
JSR,Jan Stefan Roell,2,1954,0,0
MB,Martina Burgetsmeier,1,1967,0,0
CB,Christine Brach,1,na,0,0
HM,Harald Molle,2,na,0,0
UKU,Universitaetsklinikums Ulm,0,na,1,0
ISUNU,Internationale Schule Ulm/Neu-Ulm,0,na,1,0
AS,Arbeitgeberverband Suedwestmetall,0,na,1,0
EO,Entrepreneurs Organization,0,na,1,0
VDEEI,Verband der Elektrotechnik Elektronik Informationstechnik e. V.,0,na,1,0
MFWFUKBW,"Ministerium fuer Wissenschaft, Forschung und Kunst Baden-Wuerttemberg",0,na,1,0
UniFre,Universitaet Freiburg ,0,na,1,0
LFS,Landesinstitut fuer Schulentwicklung ,0,na,1,0
UM,Universitaetsmedizin Mannheim,0,na,1,0
CK,Christoph Kuebel,2,1959,0,0
KW,Kerstin Wagner,1,na,0,0
WB,Wilhelm Bauer,2,na,0,0
COE,Christian O. Erbe,2,1961,0,0
AG,Alfred Goll,2,1956,0,0
MK,Martina Koederitz,1,1964,0,0
ML,Mark Langer,2,1968,0,0
SBB,S-Bahn Berlin,0,na,1,0
DB,Deutsche Bahn,0,na,1,0
GFIF,Gesellschaft fuer immobilienwirtschaftliche Forschung e.V.,0,na,1,0
WIUB,Wirtschaftsverbands industrieller Unternehmen Baden e.V.,0,na,1,0
GFA,Gesellschaft fuer Arbeitswissenschaft ,0,na,1,0
DGFNB,Deutsche Gesellschaft fuer Nachhaltiges Bauen e. V.,0,na,1,0
DNB,Deutsches Netzwerk Buero e. V.,0,na,1,0
EC,European Commission,0,na,1,0
BS,Bertelsmann Stiftung,0,na,1,0
IFFPR,International Foundation for Production Research,0,na,1,0
IGM,IG Metall ,0,na,1,0
AIBW,Allianz Industrie 4.0 des Landes Baden-Wuerttemberg ,0,na,1,0
RMB,Redaktionsbeirat Mensch & Buero,0,na,1,0
RIDW,Rationalisierungs- und Innovationszentrum der Deutschen Wirtschaft e. V. ,0,na,1,0
VDI,Verein Deutscher Ingenieure e. V.,0,na,1,0
WGAB,Wissenschaftliche Gesellschaft fuer Arbeits- und Betriebsorganisation,0,na,1,0
FETZEE,Fachverband Elektromedizinische Technik des Zentralverbandes der Elektrotechnik- und Elektronikindustrie e.V.,0,na,1,0
MES,Verband der Metall- und Elektroindustrie des Saarlandes e.V.,0,na,1,0
DHBW,Duale Hochschule Baden-Wuerttemberg ,0,na,1,0
REW,REW,0,na,1,0
BWI,Bird Watch Ireland GmbH,0,na,1,0
JR,Juergen Rautert ,2,na,0,0
SMH,Stephanie Mair-Huydts,1,1963,0,0
IF,Ingrid Felgentraeger,1,1952,0,0
AB,Andreas Bieswanger,2,na,0,0
SPM,siggset Print und Media AG,0,na,1,0
AkSt,Akademie der Bildenden Kuenste Stuttgart,0,na,2,1
FKS,Foerderverein Kinderfreundliches Stuttgart e.V.,0,na,1,0
GFKN,Gesellschaft fuer Konsumforschung Nuernberg e. V.,0,na,1,0
SS,Stefanie Schneider,1,1961,0,0
GF,Gerhard Floeck,2,na,0,0
SNSL,Stephan Scholl,2,1957,0,0
SWR,Sued-West-Rundfunk,0,na,1,0
FFT,Franzoesische Filmtage Tuebingen-Stuttgart,0,na,1,0
W,Witzenmann GmbH,0,na,1,0
